DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2017.03.23,1247.43,1253.22,1242.71,1245.37,85149,51128302,24
2017.03.24,1244.78,1251.77,1240.92,1245.57,74402,44953888,24
2017.03.27,1248.09,1260.97,1248.04,1254.09,81982,47882427,24
2017.03.28,1253.61,1258.33,1247.61,1251.47,79819,44434994,24
2017.03.29,1250.94,1254.57,1247.25,1253.07,77876,48930060,24
2017.03.30,1252.74,1253.74,1242.32,1243.43,68366,40732361,24
2017.03.31,1243.57,1250.50,1239.61,1248.96,70404,41860290,24
2017.04.03,1247.94,1253.62,1244.41,1252.80,64214,35195858,24
2017.04.04,1254.15,1261.22,1253.95,1255.98,65300,33467605,24
2017.04.05,1255.73,1257.24,1243.65,1255.21,85894,49080823,6
2017.04.06,1255.76,1258.82,1249.72,1251.77,74106,41128532,24
2017.04.07,1251.71,1270.83,1250.52,1254.30,127140,66056283,24
2017.04.10,1254.60,1257.01,1247.08,1254.63,74496,43357666,24
2017.04.11,1255.08,1275.06,1253.00,1273.93,90396,50792277,24
2017.04.12,1273.74,1286.62,1271.82,1286.55,92969,52281368,24
2017.04.13,1285.10,1288.54,1281.78,1287.44,81149,46535983,24
2017.04.17,1291.28,1295.45,1281.31,1284.84,66665,39137839,24
2017.04.18,1284.47,1292.24,1278.90,1289.80,83455,46437257,24
2017.04.19,1289.49,1290.61,1273.98,1279.14,78687,42934110,24
2017.04.20,1279.44,1283.36,1276.58,1281.43,80568,42639157,24
2017.04.21,1281.47,1288.18,1278.42,1284.29,85988,47300143,24
2017.04.24,1268.39,1277.34,1265.40,1275.39,90180,49754322,24
2017.04.25,1275.49,1278.05,1261.56,1263.32,76278,44903406,7
2017.04.26,1263.39,1270.54,1260.00,1269.20,83165,49807008,24
2017.04.27,1268.83,1269.49,1261.12,1264.23,74163,42102041,24
2017.04.28,1263.98,1268.46,1262.95,1267.99,61037,34646325,24
2017.05.01,1268.56,1271.15,1254.15,1256.87,53720,31916823,24
